playlist_id,playlist_title,music_title,artist,video_id,video_url
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,March of Time,Helloween - Topic,hyhX2dZY-Ls,https://youtube.com/watch?v=hyhX2dZY-Ls
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Addicted To Chaos (Remastered 2004),Megadeth - Topic,B-YnLoozIAs,https://youtube.com/watch?v=B-YnLoozIAs
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,The Threat Is Real,Megadeth - Topic,p-yfXokl1l8,https://youtube.com/watch?v=p-yfXokl1l8
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Kick the Chair,Megadeth - Topic,WRmNUzcF4AY,https://youtube.com/watch?v=WRmNUzcF4AY
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Ain't Talkin' 'Bout Love (2015 Remaster),Van Halen - Topic,qtwBFz6lfrY,https://youtube.com/watch?v=qtwBFz6lfrY
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Hypnotize,System Of A Down - Topic,pvP_YJTpt44,https://youtube.com/watch?v=pvP_YJTpt44
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Orgasmatron,Sepultura - Topic,dPeOMHcsUJ4,https://youtube.com/watch?v=dPeOMHcsUJ4
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Roots Bloody Roots,Sepultura - Topic,KuMlv7hmrFg,https://youtube.com/watch?v=KuMlv7hmrFg
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Territory (2017 Remaster),Sepultura - Topic,BWrnaI7nBUw,https://youtube.com/watch?v=BWrnaI7nBUw
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Dittohead,Slayer - Topic,4oP8nzJiDt0,https://youtube.com/watch?v=4oP8nzJiDt0
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,System Of A Down - Aerials (Official HD Video),systemofadownVEVO,L-iepu3EtyE,https://youtube.com/watch?v=L-iepu3EtyE
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Hellraiser (30th Anniversary Edition - Official Animated Video),OzzyOsbourneVEVO,zw79RVnlCb0,https://youtube.com/watch?v=zw79RVnlCb0
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Slipknot - Unsainted [OFFICIAL VIDEO],Slipknot,VpATBBRajP8,https://youtube.com/watch?v=VpATBBRajP8
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Popular Monster,Falling In Reverse - Topic,tE_K3vBctRI,https://youtube.com/watch?v=tE_K3vBctRI
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,"Falling In Reverse - ""Popular Monster""",Epitaph Records,jakpo7tj7Qw,https://youtube.com/watch?v=jakpo7tj7Qw
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Funeral Bell,Zakk Wylde - Topic,fD3lErSoCgE,https://youtube.com/watch?v=fD3lErSoCgE
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Mr Darkness,Ozzy Osbourne - Topic,P6A255ZM2Xo,https://youtube.com/watch?v=P6A255ZM2Xo
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Live in a Hole,Pantera - Topic,mLYkKLZk_4U,https://youtube.com/watch?v=mLYkKLZk_4U
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,She-Wolf (Remastered 2004 / Remixed),Megadeth - Topic,Qcy07OvWdl0,https://youtube.com/watch?v=Qcy07OvWdl0
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,"Falling In Reverse - ""Watch The World Burn""",Epitaph Records,qMXESlny4-I,https://youtube.com/watch?v=qMXESlny4-I
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,I Am in Command,Annihilator - Topic,KZsEDlqir5w,https://youtube.com/watch?v=KZsEDlqir5w
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Alison Hell,Annihilator - Topic,ZcSoW_iLDo0,https://youtube.com/watch?v=ZcSoW_iLDo0
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Hall of the Mountain King,Savatage - Topic,UqTJgAHtg4o,https://youtube.com/watch?v=UqTJgAHtg4o
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Dreambook,Eternal Silence - Topic,r8ftBcsSXDw,https://youtube.com/watch?v=r8ftBcsSXDw
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Dawn of Victory (Re-Recorded),Rhapsody of Fire - Topic,QKl9JL1hXWY,https://youtube.com/watch?v=QKl9JL1hXWY
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Don't Say A Word,Sonata Arctica - Topic,fLmr-D9xEoU,https://youtube.com/watch?v=fLmr-D9xEoU
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Invisible,Dio - Topic,AfFbkHTwJn8,https://youtube.com/watch?v=AfFbkHTwJn8
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,World Painted Blood,Slayer - Topic,PruEhg1IYsw,https://youtube.com/watch?v=PruEhg1IYsw
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Progenies of the Great Apocalypse,Dimmu Borgir - Topic,8uC0dqxZmcY,https://youtube.com/watch?v=8uC0dqxZmcY
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Reptile,Dimmu Borgir - Topic,j6moEZrAbIc,https://youtube.com/watch?v=j6moEZrAbIc
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,The Insight and the Catharsis,Dimmu Borgir - Topic,266zpJE51tk,https://youtube.com/watch?v=266zpJE51tk
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Avenged Sevenfold - Bat Country [Official Music Video],Avenged Sevenfold,IHS3qJdxefY,https://youtube.com/watch?v=IHS3qJdxefY
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,In My Dreams,Dokken - Topic,zYU-bwh9E9U,https://youtube.com/watch?v=zYU-bwh9E9U
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Kings Are Falling,Riot  - Topic,5op8JVT4OIg,https://youtube.com/watch?v=5op8JVT4OIg
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Kings of the Carnival Creation,Dimmu Borgir - Topic,qjDiwUqavyU,https://youtube.com/watch?v=qjDiwUqavyU
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Helloween - Lavdate Dominvm,Noise Records,mXSI5Vb0zRk,https://youtube.com/watch?v=mXSI5Vb0zRk
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,We Got the Right,Helloween - Topic,4QT8Iau0M8c,https://youtube.com/watch?v=4QT8Iau0M8c
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Dr. Stein,Helloween - Topic,p_ai1QyLkUA,https://youtube.com/watch?v=p_ai1QyLkUA
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Halloween,Helloween - Topic,dvik_TMANRQ,https://youtube.com/watch?v=dvik_TMANRQ
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,In My Darkest Hour,Symphony X - Topic,s6ajx_9-pVI,https://youtube.com/watch?v=s6ajx_9-pVI
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,The Dark Ride,Helloween - Topic,oBOUm20hi4M,https://youtube.com/watch?v=oBOUm20hi4M
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Silent Rain,Helloween - Topic,VErMbNbt2zY,https://youtube.com/watch?v=VErMbNbt2zY
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Ghost of the Navigator (2015 Remaster),Iron Maiden - Topic,q4ZKbYXDZtk,https://youtube.com/watch?v=q4ZKbYXDZtk
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,The Shade in the Shadow,Helloween - Topic,TRTnTzkL-Ns,https://youtube.com/watch?v=TRTnTzkL-Ns
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Forever & One,Helloween - Topic,_gwDQ-iVXiU,https://youtube.com/watch?v=_gwDQ-iVXiU
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Mouth for War (2003 Remaster),Pantera - Topic,H_FGvWihZLQ,https://youtube.com/watch?v=H_FGvWihZLQ
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,In the Middle of a Heartbeat,Helloween - Topic,xbVKYy8O_U8,https://youtube.com/watch?v=xbVKYy8O_U8
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Revolution Is My Name,Pantera - Topic,GI4MKy4w5lY,https://youtube.com/watch?v=GI4MKy4w5lY
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,8th Commandment,Sonata Arctica - Topic,yE8Lrxgh9kc,https://youtube.com/watch?v=yE8Lrxgh9kc
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Hail to the King,Avenged Sevenfold - Topic,MjwttGizNEs,https://youtube.com/watch?v=MjwttGizNEs
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,When the Wild Wind Blows (2015 Remaster),Iron Maiden - Topic,WmPTxrJ-kHI,https://youtube.com/watch?v=WmPTxrJ-kHI
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Assassin,Muse - Topic,nNPSSs1xnpY,https://youtube.com/watch?v=nNPSSs1xnpY
PLrKAOHX96yPOmNeH6DB6LkiAG7x9Lx-X0,Metal,Architecture Of A Genocidal Nature (Remixed & Remastered),Dimmu Borgir - Topic,RIczVoWACqY,https://youtube.com/watch?v=RIczVoWACqY
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,"Atari Teenage Riot ""SPEED"" (REMASTERED)",Atari Teenage Riot,plAr3adKbyc,https://youtube.com/watch?v=plAr3adKbyc
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Ganja White Night x LSDREAM - BADMAN | Official Music Video | Extended Version | Animation | 2022,Ganja White Night,9Ux0eOPanxE,https://youtube.com/watch?v=9Ux0eOPanxE
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Kim Dracula – Make Me Famous (Official Video),Kim Dracula,X6o7RtOHpVc,https://youtube.com/watch?v=X6o7RtOHpVc
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Electric Callboy - PUMP IT (OFFICIAL VIDEO),Electric Callboy,OnzkhQsmSag,https://youtube.com/watch?v=OnzkhQsmSag
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Cinema (Skrillex Radio Edit),Benny Benassi - Topic,BkR5jP7db8A,https://youtube.com/watch?v=BkR5jP7db8A
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,The Man Who Made a Monster,Dance with the Dead - Topic,zsfrNx5sYHg,https://youtube.com/watch?v=zsfrNx5sYHg
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Death Machine,Atari Teenage Riot - Topic,vpajVanoKIY,https://youtube.com/watch?v=vpajVanoKIY
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,We Got the Moves,Electric Callboy - Topic,AhTypsCd3dM,https://youtube.com/watch?v=AhTypsCd3dM
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,1-800-CLOSE-UR-EYES,Kim Dracula - Topic,kCfIEYSMCo8,https://youtube.com/watch?v=kCfIEYSMCo8
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Skrillex - Ruffneck Bass VIP (Barely Alive Remake),Paether,tSnRGYcKGvY,https://youtube.com/watch?v=tSnRGYcKGvY
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Disobey,Oddko - Topic,wmmRZY_2ixs,https://youtube.com/watch?v=wmmRZY_2ixs
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,First of the Year (Equinox),Skrillex - Topic,YcJaYkamg5Y,https://youtube.com/watch?v=YcJaYkamg5Y
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Whore,In This Moment - Topic,j7erjahh46Q,https://youtube.com/watch?v=j7erjahh46Q
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,DANCE WITH THE DEAD - Diabolic,dancewiththedead,YanwyGP0Li4,https://youtube.com/watch?v=YanwyGP0Li4
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Holdin' On (Skrillex & Nero Remix),I See MONSTAS - Topic,xsWW0WzTyic,https://youtube.com/watch?v=xsWW0WzTyic
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Uebok (Gotta Run),Apashe - Topic,1hIT0dCwzGo,https://youtube.com/watch?v=1hIT0dCwzGo
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Dark All Day,GUNSHIP - Topic,ZLVwPZOW4iA,https://youtube.com/watch?v=ZLVwPZOW4iA
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,LSD,Will Sparks - Topic,xw6BPt9f1eU,https://youtube.com/watch?v=xw6BPt9f1eU
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Nightmare,Vairo - Topic,Ryoxb6GnRVA,https://youtube.com/watch?v=Ryoxb6GnRVA
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Scream Saver,Subtronics - Topic,SUraMSU-N2I,https://youtube.com/watch?v=SUraMSU-N2I
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Anubis (Radio Edit),Mike Candys - Topic,kbHDYJV6a04,https://youtube.com/watch?v=kbHDYJV6a04
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Scarab (Flawx Remix),Vairo - Topic,KDloF_t4nX4,https://youtube.com/watch?v=KDloF_t4nX4
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Luta e Brinca,"Marcos ""Barrão"" DaSilva - Topic",s4b3996suOA,https://youtube.com/watch?v=s4b3996suOA
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Afterclapp - Capitao De Areia (Bass Boosted),Flow Nation,9zGAq1aTGFY,https://youtube.com/watch?v=9zGAq1aTGFY
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Cumon,Will Sparks - Topic,WTLzIIiw2gs,https://youtube.com/watch?v=WTLzIIiw2gs
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Technical Hitch – Om Shri Kali (Original Mix),Mumbai PsyTrance,NFaPaBDQFXQ,https://youtube.com/watch?v=NFaPaBDQFXQ
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Technical Hitch - Agartha,Technical Hitch Official,47iXrMQ8l1M,https://youtube.com/watch?v=47iXrMQ8l1M
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,HiTech Dark Psytrance ● 200 BPM+ Acid Lindsey - Jesus Raves 216,HITECH TRANCE Official,I8VHJL5t5w4,https://youtube.com/watch?v=I8VHJL5t5w4
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Indila - Tourner Dans Le Vide (Official Lyric Video),IndilaVEVO,F3wpq-i150c,https://youtube.com/watch?v=F3wpq-i150c
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,【松原みき】Miki Matsubara 'Mayonaka no Door -stay with me'(Music Video) Director's Cut 2022 by TELL SATO,"Miki Matsubara Official ""stay with me""",lags8E4hvow,https://youtube.com/watch?v=lags8E4hvow
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Zero - Reeces Pieces,DEEPROT,sI3VWw4OyMI,https://youtube.com/watch?v=sI3VWw4OyMI
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,"Tim Minchin | ""Rock N Roll Nerd"" | w/ Lyrics",Musical Comedy,OTbnZ-adukM,https://youtube.com/watch?v=OTbnZ-adukM
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,"Becky Hill, Chase & Status - Disconnect (Official Visualiser)",BeckyHillVEVO,3px_i-GUXBY,https://youtube.com/watch?v=3px_i-GUXBY
PLrKAOHX96yPOVVDQ0pzi-xBe_-8Qtl2GK,Alternative,Ten Foot Cock and a Few Hundred Virgins (Live),Tim Minchin - Topic,MvxJGxjuikQ,https://youtube.com/watch?v=MvxJGxjuikQ
